,time,weather,temp,pertemp,precipitation,prop
0,01시,흐림,12℃,12℃,-,30%
1,02시,흐림,11℃,11℃,-,30%
2,03시,비,11℃,11℃,~1mm,60%
3,04시,흐림,11℃,11℃,-,30%
4,05시,흐림,11℃,11℃,-,30%
5,06시,흐림,11℃,11℃,-,30%
6,07시,비,11℃,11℃,~1mm,60%
7,08시,비,12℃,12℃,~1mm,60%
8,09시,비,13℃,13℃,~1mm,60%
9,10시,비,13℃,13℃,~1mm,60%
10,11시,비,14℃,14℃,~1mm,60%
11,12시,비,15℃,15℃,~1mm,60%
12,13시,비,16℃,16℃,~1mm,60%
13,14시,비,16℃,15℃,~1mm,60%
14,15시,비,15℃,15℃,~1mm,60%
15,16시,비,14℃,13℃,~1mm,60%
16,17시,비,14℃,13℃,~1mm,60%
17,18시,흐림,13℃,12℃,-,30%
18,19시,흐림,13℃,13℃,-,30%
19,20시,흐림,12℃,12℃,-,30%
20,21시,흐림,11℃,11℃,-,30%
21,22시,흐림,10℃,10℃,-,30%
22,23시,흐림,10℃,10℃,-,30%
23,0시,흐림,10℃,10℃,-,30%
